trajectory,X_index1,x_index2,x1,y1,x2,y2,A,B,duration,length
810,9929,9943,381.25,29.866771428954962,384.75,422.37187912129593,-42725.1538879155,112.14431648352644,3.5,392.50510769234097
810,9943,9954,384.75,284.1057727292937,387.5,-182.7703272706858,65604.3164909079,-169.77312727271894,2.75,-466.8760999999795
810,9954,10200,387.5,153.42174105527764,449,166.59168146674222,70.44040919442358,0.21414537254413948,61.5,13.16994041146458
810,10200,10228,449,412.8349679805506,456,-95.90437301562633,33044.829840449886,-72.67704871374016,7,-508.7393409961769
810,10228,10264,456,93.76109008966341,465,159.02701904717833,-3213.0459770910697,7.251769884168275,9,65.26592895751492
810,10264,10316,465,-3.5956008708508307,478,409.12044796377995,-14766.131193801913,31.747388371894758,13,412.7160488346308
810,10316,10373,478,220.08211796748856,492.25,67.19287781971889,5348.577331345301,-10.729069484054001,14.25,-152.88924014776967
810,10373,10387,492.25,372.0828571413731,495.75,-81.61037362772913,64180.79509888175,-129.62663736260106,3.5,-453.69323076910223
810,10387,10480,495.75,111.01429627086418,519,-52.46697662460656,3596.8569215581524,-7.031452597654641,23.25,-163.48127289547074
810,10480,10502,519,200.23540711561873,524.5,-105.78506493402529,29077.439951436743,-55.64008582720833,5.5,-306.020472049644
810,10502,10771,524.5,92.85163073110994,591.75,61.32587948733021,338.72905121233623,-0.46878440511196623,67.25,-31.525751243779723
810,10771,10830,591.75,-125.77925762708946,606.5,205.33981823497743,-13409.827606195066,22.44875090590279,14.75,331.1190758620669
810,10830,10879,606.5,48.803413877679986,618.75,27.43481887766734,1106.7669132660687,-1.744375102041861,12.25,-21.368595000012647
810,10879,10998,618.75,175.7231529411756,648.5,-55.10690129611339,4976.600331405793,-7.758993419740797,29.75,-230.830054237289
810,10998,11010,648.5,51.35691026729182,651.5,251.8538333442848,-43289.39462820911,66.83230769233062,3,200.49692307699297
810,11010,11043,651.5,-78.52647415302818,659.75,34.41037878814677,-8997.115527628848,13.689315508021211,8.25,112.93685294117495
810,11043,11132,659.75,135.30888913858826,682,26.65027247193575,3357.220005804837,-4.8835333333327,22.25,-108.6586166666525
810,11132,11163,682,155.39443548383724,689.75,182.98073548383263,-2272.1999645157734,3.5595225806445905,7.75,27.58629999999539
810,11163,11188,689.75,270.2726153853,696,-120.43024999926274,43388.24083922589,-62.51245846153039,6.25,-390.70286538456276
810,11188,11351,696,171.95577547507173,736.75,31.1065853215091,2577.625379079483,-3.4564218442592116,40.75,-140.84919015356263
810,11351,11396,736.75,223.6313913035956,748,82.24877272648155,9482.621990120293,-12.567343873521137,11.25,-141.38261857711404
810,11396,11413,748,336.9730784186395,752.25,2651.0219117514207,-406935.62158815586,544.4820784312493,4.25,2314.048833332781
810,11413,11501,752.25,2619.650698674105,774.25,2935.2605266477394,-8172.053532833458,14.345901271528831,22,315.6098279736343
810,11501,11549,774.25,2796.639704954712,786.25,2808.7243927529307,2016.9255776404643,1.0070573165182406,12,12.08468779821851
929,11550,11722,0,-44.94556660841512,43,-8.881128518971842,-44.94556660841512,0.8387078625451926,43,36.06443808944328
929,11722,11774,43,140.58754644412215,56,-109.84874434389133,968.9537390506283,-19.264330060616423,13,-250.43629078801348
929,11774,11795,56,-274.73292640693944,61.25,453.9799190476051,-8047.669944588742,138.80244675324647,5.25,728.7128454545445
929,11795,11909,61.25,81.84453623188423,89.75,17.63396755162148,219.84093383420333,-2.253002409833781,28.5,-64.21056868026275
929,11909,11939,89.75,245.6025849462394,97.25,-184.2846942528704,5389.920359362248,-57.31830389321458,7.5,-429.8872791991098
929,11939,11983,97.25,-64.95899090909984,108.25,-209.91845137421524,1216.614420930216,-13.178132769555948,11,-144.9594604651154
929,11983,12002,108.25,-86.95060526317275,113,58.02156140349507,-3390.7899824561837,30.52045614035114,4.75,144.97216666666782
929,12002,12031,113,-268.39813793102894,120.25,208.50171921182846,-7701.457980295553,65.77929064039402,7.25,476.8998571428574
